D0
,cc-pVDZ,cc-pVTZ,aug-cc-pVDZ,aug-cc-pVTZ
8,-470.5085249356035,-470.9974604437034,-470.5700994630229,None
9,-470.4117243385462,-470.94346371156144,-470.48177505570106,None
10,-470.3150299332318,-470.87787588515465,-470.3837851064093,None
11,-470.2036625410558,-470.79483347655923,-470.2821557565355,None
12,None,None,None,None

D180
,cc-pVDZ,cc-pVTZ,aug-cc-pVDZ,aug-cc-pVTZ
1,None,None,None,None
2,-471.0938616205971,-471.3356302325995,-471.1287754263914,None
3,-470.99453420314,-471.2769221995524,-471.0316472400918,None
4,-470.8972552204315,-471.22042159452053,-470.93843647341544,None
5,-470.7998002179477,-471.1640427817297,-470.84587962394664,None
6,-470.7033880255957,-471.10489288212005,-470.7539556385131,None
7,-470.6030842519392,-471.0552736317271,-470.6627160357614,None
8,-470.51062958133315,-470.9994399836856,-470.57191604565753,None
9,-470.41386870150495,-470.94538517100983,-470.4834611372548,None
10,-470.3168817278086,-470.87945519794516,-470.3853660487325,None
11,-470.20557600164136,-470.7967063645027,-470.2845455965777,None
12,None,None,None,None

